DateKey	 holiday_name
Thursday, 01 January 2026	 'New Years Day'
Saturday, 21 March 2026	 'Human Rights Day'
Friday, 03 April 2026	 'Good Friday'
Monday, 06 April 2026	 'Family Day'
Monday, 27 April 2026	 'Freedom Day'
Friday, 01 May 2026	 'Workers Day'
Tuesday, 16 June 2026	 'Youth Day'
Sunday, 09 August 2026	 'National Womens Day'
Thursday, 24 September 2026	 'Heritage Day'
Wednesday, 16 December 2026	 'Day of Reconciliation'
Friday, 25 December 2026	 'Christmas Day'
Saturday, 26 December 2026	 'Day of Goodwill'